award received	Herbert Menges was appointed an Officer of the Order of the British Empire in 1963.	Herbert Menges	Officer of the Order of the British Empire
country	District Jail Gujrat is an old jail situated in Gujrat, Pakistan.	District Jail Gujrat	Pakistan
country	The Severomuysky Range (Russian: Се́веро-Му́йский хребе́т, Severo-Muyskiy khrebet, literally Northern Muya Range) is a mountain range in Buryatia, Russia, part of the Stanovoy Highlands.	Severomuysky Range	Russia
country	Mohlabetsi Conservancy, borders the Klaserie Game Reserve, which in its turn borders the Kruger Park, close to Hoedspruit, in the Limpopo province, South Africa.	Mohlabetsi Conservancy	South Africa
country	The Progressive Labour Movement was a major political party in Antigua and Barbuda, and until the 2000s, was the only political party to have defeated the Antigua Labour Party in an election.	Progressive Labour Movement	Antigua and Barbuda
country	Praça Sete de Setembro (Sete de Setembro Square) normally called Praça Sete, is a square inside Belo Horizonte, Minas Gerais, Brazil, in the center of the city's downtown.	Praça Sete de Setembro	Brazil
country	Durjan (Persian: درجن‎, also Romanized as Dūrjan and Dowrjen; also known as Darjan) is a village in Kuhsarat Rural District, in the Central District of Minudasht County, Golestan Province, Iran.	Durjan	Iran
country	Cobue is a small lake-side town in Niassa Province, in north-west Mozambique.	Cobue	Mozambique
country	Zuzela (zuˈzɛla) is a village in the administrative district of Gmina Nur, within Ostrów Mazowiecka County, Masovian Voivodeship, in east-central Poland.	Zuzela	Poland
country	The Nilgiri Himal is a range of three peaks in the Annapurna massif in Nepal.	Nilgiri Himal	Nepal
country	Coatréven (Breton: Koatreven) is a commune in the Côtes-d'Armor department of Brittany in northwestern France.	Coatréven	France
country	Al Muaisem is a neighborhood of Mecca in Makkah Province, in western Saudi Arabia.	Al Muaisem	Saudi Arabia
country	Rusajny (ruˈsai̯nɨ) (German: Roschenen) is a village in the administrative district of Gmina Sępopol, within Bartoszyce County, Warmian-Masurian Voivodeship, in northern Poland, close to the border with the Kaliningrad Oblast of Russia.	Rusajny	Poland
country	The Republican Palace (Arabic: القصر الجمهوري al-Qaṣr al-Ǧumhūriy) is a palace in Baghdad, Iraq, constructed on the orders of King Faisal II. It was Saddam Hussein's preferred place to meet visiting heads of state.	Republican Palace	Iraq
country	The Wendish-German double church (Lower Sorbian Serbsko-nimska dwójna cerkwja we Wětošowje) is a so-called double church in Vetschau (Wětošow)/Spreewald, Germany.	Wendish-German double church	Germany
country	The Burmese passport or the Myanmar passport is the passport issued to citizens and nationals of Burma (officially called ``the Republic of the Union of Myanmar'').	Burmese passport	Myanmar
country	Radyně Castle is a castle situated on a hill of the same name, near the town of Starý Plzenec, in the Plzeň Region of the Czech Republic.	Radyně Castle	Czech Republic
country	St. George's Caye is an island in the Caribbean Sea, eight miles east of Belize City.	St. George's Caye	Belize
country	The Hôtel de la Chambre des Députés (English: Hall of the Chamber of Deputies) is the meeting place of the Luxembourgish national legislature, the Chamber of Deputies, in Luxembourg City, in southern Luxembourg.	Hôtel de la Chambre	Luxembourg
country	Wiewierz (ˈvjɛvjɛʂ) is a village in the administrative district of Gmina Wąsosz, within Góra County, Lower Silesian Voivodeship, in south-western Poland.	Wiewierz	Poland
country	Zlatitsa (Bulgarian: Златица) is a town and seat of Zlatitsa Municipality in southern Bulgaria located in the Zlatitsa-Pirdop valley, between Stara Planina to the north and Sredna Gora to the south at 680 meters above the sea level.	Zlatitsa	Bulgaria
country	Ardanj (Persian: اردنج‎) is a village in Yam Rural District, Meshkan District, Khoshab County, Razavi Khorasan Province, Iran.	Ardanj	Iran
country	Kłodkowo (kwɔtˈkɔvɔ) (formerly German Klätkow) is a village in the administrative district of Gmina Trzebiatów, within Gryfice County, West Pomeranian Voivodeship, in north-western Poland.	Kłodkowo	Poland
country	Bárðarbunga ((ˈpaurðarpuŋka)), Bardarbunga (Anglophone spelling), is a stratovolcano located under Vatnajökull, Iceland's most extensive glacier.	Bárðarbunga	Iceland
country	The Cephalonia Prefecture (Greek: Νομός Κεφαλληνίας) was a prefecture in Greece, containing the Ionian islands of Cephalonia and Ithaca.	Cephalonia Prefecture	Greece
country	BFC Germania 1888 was founded by 17-year-old Paul Jestram, his three brothers, and a number of their schoolmates from Askanischen Gymnasium at a time when football was not yet common in Germany, the first football games having been played in Berlin and Hamburg in the winter of 1881--82 by expatriate Englishmen.	BFC Germania 1888	Germany
country	The Asiak River is a waterway in the Kitikmeot Region of Nunavut in Canada.	Asiak River	Canada
country	Błądkowo (bwɔntˈkɔvɔ) (German: Plantikow) is a village in the administrative district of Gmina Dobra, within Łobez County, West Pomeranian Voivodeship, in north-western Poland.	Błądkowo	Poland
country	Marufan (Persian: معروفان‎, also Romanized as Ma``rūfān, Ma``roofan, and Marūfūn) is a village in Momenabad Rural District, in the Central District of Sarbisheh County, South Khorasan Province, Iran. At the 2006 census, its population was 90, in 36 families.	Marufan	Iran
country	Boumba River is a river in the South Cameroon Plateau of southeast Cameroon.	Boumba River	Cameroon
country	Khatyngnakh (Russian: Хатынгнах; Sakha: Хатыҥнаах) is a rural locality (a selo), the only inhabited locality, and the administrative center of Khatyngnakhsky Rural Okrug of Srednekolymsky District in the Sakha Republic, Russia, located 64 kilometers (40 mi) from Srednekolymsk, the administrative center of the district.	Khatyngnakh	Russia
country	Mündi (German: Müntenhof) is a village in Paide Parish, Järva County in northern-central Estonia known for its manor.	Mündi	Estonia
country	Žigrski Vrh (pronounced (ˈʒiːɡəɾski ˈʋəɾx)) is a settlement in the Municipality of Sevnica in central Slovenia.	Žigrski Vrh	Slovenia
country	Vecpiebalga parish (Latvian: Vecpiebalgas pagasts) is an administrative unit of the Cēsis District, Latvia.	Vecpiebalga parish	Latvia
country	Thoknia (Greek: Θωκνία) is a village in the municipality of Megalopoli, Arcadia, Greece.	Thoknia	Greece
country	Franco Miseria (Marsciano, 1949), choreographer Giancarlo Antognoni (Marsciano, 1954) former footballer, world champion with Italy national football team in 1982.	Marsciano	Italy
country	Albo Hundred (Swedish: Albo härad, Danish: Albo Herred) was a hundred on the east coast of Scania in southern Sweden.	Albo Hundred	Sweden
country	Chah-e Palund (Persian: چاه پالوند‎, also Romanized as Chāh-e Pālūnd; also known as Chāh-e Pālūn) is a village in Howmeh Rural District, in the Central District of Ferdows County, South Khorasan Province, Iran.	Chah-e Palund	Iran
country	Tianmenshan Temple (simplified Chinese: 天门山寺; traditional Chinese: 天門山寺; pinyin: Tiānménshān Sì) is a Buddhist temple located in Tianmen Mountain of Zhangjiajie, Hunan, in the People's Republic of China.	Tianmenshan Temple	People's Republic of China
country	The Ngari Capes Marine Park is a protected marine park on the lower south west coast of Western Australia, located approximately 250 kilometres (160 mi) south of Perth.	Ngari Capes Marine Park	Australia
country	Dubingiai Castle was a residential castle in Dubingiai, Molėtai district, Lithuania.	Dubingiai Castle	Lithuania
country	Ifsar (Cyrillic: Ифсар) is a village in the municipality of Čajniče, Bosnia and Herzegovina.	Ifsar	Bosnia and Herzegovina
country	Foeni (German: Föen; Hungarian: Fény; Serbian: Фењ or Fenj) is a commune in Timiș County, Romania.	Foeni	Romania
country	Kihansi Dam is a hydroelectric dam located on the Kihansi River at the end of the Kihansi Gorge before the convergence with the Ulanga River in Tanzania approximately 450 kilometres (280 mi) southwest of Dar Es Salaam.	Kihansi Dam	Tanzania
country	The Prince George Free Press was a local weekly newspaper published in Prince George, British Columbia, Canada from 1994 to 2015.	Prince George Free Press	Canada
country	Kostomłoty Pierwsze (kɔstɔmˈwɔtɨ ˈpjɛrfʂɛ) is a village in the administrative district of Gmina Miedziana Góra, within Kielce County, Świętokrzyskie Voivodeship, in south-central Poland.	Kostomłoty Pierwsze	Poland
country	Deli Savari (Persian: دلي سواري‎, also Romanized as Delī Savārī; also known as Delī Savār) is a village in Poshteh-ye Zilayi Rural District, Sarfaryab District, Charam County, Kohgiluyeh and Boyer-Ahmad Province, Iran.	Deli Savari	Iran
country	Nowa Wieś Dmochy (ˈnɔva ˈvjɛɕ ˈdmɔxɨ) is a village in the administrative district of Gmina Janowiec Kościelny, within Nidzica County, Warmian-Masurian Voivodeship, in northern Poland.	Nowa Wieś Dmochy	Poland
country	Iso-Heikkilä Observatory (Finnish: Iso-Heikkilän tähtitorni) is an amateur astronomical observatory in the Iso-Heikkilä district of Turku, Finland.	Iso-Heikkilä Observatory	Finland
country	Grkovci (Cyrillic: Грковци) is a village in the municipality of Bosansko Grahovo, Bosnia and Herzegovina.	Grkovci	Bosnia and Herzegovina
country	The Tainan University of Technology (TUT; Chinese: 台南應用科技大學), also known as Tainan Tech (台南科大; Tai-nan Ke-da), is a private university serving approximately 10,000 students in the Tainan metropolitan area in southern Taiwan.	Tainan University of Technology	Taiwan
country	Abidjan is the economic capital of Ivory Coast and is the most populous French-speaking city in West Africa.	Abidjan	Ivory Coast
country	Sodo or Wolaita Sodo is a town and separate woreda in south-central Ethiopia.	Sodo	Ethiopia
country	Futog (Serbian Cyrillic: Футог) is a big village in Serbia, in the Autonomous Province of Vojvodina.	Futog	Serbia
country	Ilha Comprida (Portuguese for ``long island'') is a municipality in the state of São Paulo in Brazil.	Ilha Comprida	Brazil
country	Marchtrenk is a municipality with about 12.500 inhabitants in the district Wels-Land in the province Upper Austria of the Republic of Austria.	Marchtrenk	Austria
country	Ramziyeh-ye Do (Persian: رمزيه دو‎, also Romanized as Ramzīyeh-ye Do; also known as Ramzeyeh-ye Do and Ramzīyeh) is a village in Esmailiyeh Rural District, in the Central District of Ahvaz County, Khuzestan Province, Iran.	Ramziyeh-ye Do	Iran
country	Petit-Tenquin (Lorraine Franconian: Klä-Tenschen/Klän Tensche, German: Kleintänchen) is a commune in the Moselle department in Alsace-Champagne-Ardenne-Lorraine in north-eastern France.	Petit-Tenquin	France
country	The Air Forces of the National People's Army (German: Luftstreitkräfte der Nationalen Volksarmee - LSK) was the Air Force of East Germany.	Air Forces of the National People's Army	East Germany
country	Brisbane Convention & Exhibition Centre (BCEC) is a convention centre in Brisbane, Australia.	Brisbane Convention & Exhibition Centre	Australia
country	Üsküdar American Academy is a private coeducational high school located in Üsküdar borough, Istanbul, Turkey.	Üsküdar American Academy	Turkey
country	Woburn Railway Station is a suburban railway station serving Woburn and Waiwhetu in Lower Hutt, New Zealand.	Woburn Railway Station	New Zealand
country	K'ara K'arani (Aymara k'ara k'ara crest, -ni a suffix to indicate ownership, ``the one with a crest'', hispanicized spelling Caracarane) is a mountain in the Andes of southern Peru, about 4,600 metres (15,092 ft) high.	K'ara K'arani	Peru
country	The mainland part of German New Guinea and the nearby islands of the Bismarck Archipelago and the North Solomon Islands are now part of Papua New Guinea.	German New Guinea	Papua New Guinea
country	Chaitanya Bharathi Institute of Technology (CBIT) is a college located in Gandipet, near Financial District, Hyderabad, Telangana, India.	Chaitanya Bharathi Institute of Technology	India
country	Saeftinghe or Saaftinge was a town in the southwest Netherlands, located in eastern Zeeuws-Vlaanderen, near Nieuw-Namen.	Saeftinghe	Netherlands
country	Tarrah Rural District (Persian: دهستان طراح‎) is a rural district (dehestan) in Hamidiyeh District, Ahvaz County, Khuzestan Province, Iran.	Tarrah Rural District	Iran
country	Kobine is a traditional dance and festival unique to the Lawra area of north western Ghana.	Kobine	Ghana
country	Ullandhaug is a neighborhood (delområde) in the borough Hillevåg in Stavanger, Norway.	Ullandhaug	Norway
country	Chal Ab Morad Ali (Persian: چال اب مرادعلي‎, also Romanized as Chāl Āb Morād ʿAlī; also known as Chāl Āb and Chālū Āb) is a village in Kuhdasht-e Shomali Rural District, in the Central District of Kuhdasht County, Lorestan Province, Iran.	Chal Ab Morad Ali	Iran
country	Frankfurt Cathedral (German: Frankfurter Dom), officially Cathedral of Saint Bartholomew (German: Kaiserdom Sankt Bartholomäus) is a Roman Catholic Gothic church located in the centre of Frankfurt am Main, Germany.	Frankfurt Cathedral	Germany
